date,min-max,average_price
24 ธ.ค. 2565,35 - 40,37.50 
25 ธ.ค. 2565,35 - 40,37.50 
26 ธ.ค. 2565,25 - 30,27.50 
27 ธ.ค. 2565,25 - 30,27.50 
28 ธ.ค. 2565,25 - 30,27.50 
29 ธ.ค. 2565,20 - 25,22.50 
30 ธ.ค. 2565,20 - 25,22.50 
31 ธ.ค. 2565,20 - 25,22.50 
01 ม.ค. 2566,20 - 25,22.50 
02 ม.ค. 2566,20 - 25,22.50 
03 ม.ค. 2566,20 - 25,22.50 
04 ม.ค. 2566,20 - 25,22.50 
05 ม.ค. 2566,20 - 25,22.50 
06 ม.ค. 2566,20 - 25,22.50 
07 ม.ค. 2566,20 - 25,22.50 
08 ม.ค. 2566,20 - 25,22.50 
09 ม.ค. 2566,15 - 20,17.50 
